Comunas,Total Niños por comuna (de 0 a 15 años),Sum of % AAVV x hab
BUIN,21311,7.34
CALERA DE TANGO,5255,2.61
CERRILLOS,16040,14.58
CERRO NAVIA,25711,6.03
COLINA,37896,9.46
CONCHALÍ,23132,3.3
EL BOSQUE,32377,2.03
EL MONTE,7988,3.63
ESTACIÓN CENTRAL,23164,3.79
HUECHURABA,22747,10.78
INDEPENDENCIA,16264,1.55
ISLA DE MAIPO,7856,2.69
LA CISTERNA,15866,1.78
LA FLORIDA,66247,3.76
LA GRANJA,22056,7.29
LA PINTANA,41022,3.47
LA REINA,16533,13.99
LAMPA,26398,6.88
LAS CONDES,44299,4.87
LO BARNECHEA,24824,15.21
LO ESPEJO,18990,4.36
LO PRADO,17035,3.2
MACUL,19244,4.14
MAIPÚ,99878,5.5
MELIPILLA,17589,4.33
ÑUÑOA,30473,2.44
PADRE HURTADO,14075,7.17
PAINE,15811,3.74
PEDRO AGUIRRE CERDA,17734,5.25
PEÑAFLOR,19678,4.75
PEÑALOLÉN,48585,5.66
PIRQUE,5493,2.41
PROVIDENCIA,16942,14.94
PUDAHUEL,47545,4.71
PUENTE ALTO,122446,4.41
QUILICURA,47486,4.03
QUINTA NORMAL,19339,3.63
RECOLETA,27893,18.58
RENCA,31546,4.58
SAN BERNARDO,67534,4.07
SAN JOAQUÍN,15995,4.9
SAN JOSÉ DE MAIPO,3270,3.96
SAN MIGUEL,17654,1.97
SAN RAMÓN,15457,4.63
SANTIAGO,49235,4.64
TALAGANTE,15783,6.94
TILTIL,4043,6.03
VITACURA,15244,18.67
Total general,1338983,288.68
