Comuna,Buen estado,Mal estado,Total,Codigo comuna
Cerrillos,137,54,191,13125
Cerro Navia,70,67,137,13125
Conchalí,194,112,306,13125
El Bosque,104,58,162,13125
Estación Central,219,84,303,13125
Huechuraba,148,70,218,13125
Independencia,92,41,133,13125
La Cisterna,33,19,52,13125
La Florida,559,162,721,13125
La Granja,100,140,240,13125
La Pintana,138,106,244,13125
La Reina,173,52,225,13125
Las Condes,686,38,724,13125
Lo Barnechea,283,52,335,13125
Lo Espejo,57,108,165,13125
Lo Prado,94,98,192,13125
Macul,155,70,225,13125
Maipú,1034,667,1701,13125
Ñuñoa,291,100,391,13125
Pedro Aguirre Cerda,63,123,186,13125
Peñalolén,346,256,602,13125
Providencia,263,16,279,13125
Pudahuel,92,97,189,13125
Puente Alto,636,977,1613,13125
Quilicura,88,212,300,13125
Quinta Normal,33,31,64,13126
Recoleta,116,136,252,13127
Renca,40,88,128,13128
San Bernardo,157,176,333,13401
San Joaquín,84,73,157,13129
San Miguel,55,17,72,13130
San Ramón,53,82,135,13131
Santiago,232,33,265,13101
Vitacura,353,9,362,13132
